Timestamp(s),UE_ID,Serving_gNB,Target_gNB,Serving_SINR(dB),RSRP(dBm),Remarks
15.10,UE-9,AnchorGNB-1,gNB-4,-15.3,-89.8,Ping-Pong
15.10,UE-10,AnchorGNB-1,gNB-4,-20.0,-97.6,Ping-Pong
15.60,UE-7,AnchorGNB-1,gNB-2,-12.2,-87.6,Ping-Pong
15.60,UE-8,gNB-4,AnchorGNB-1,4.5,-76.8,Ping-Pong
15.80,UE-7,gNB-2,AnchorGNB-1,-13.4,-82.5,Ping-Pong
16.10,UE-1,gNB-2,AnchorGNB-1,-19.6,-97.6,Ping-Pong
16.10,UE-11,gNB-4,AnchorGNB-1,-12.1,-95.0,Ping-Pong
16.20,UE-10,gNB-4,AnchorGNB-1,-16.9,-85.6,Ping-Pong
16.40,UE-9,gNB-4,AnchorGNB-1,-20.0,-99.7,Ping-Pong
16.70,UE-11,AnchorGNB-1,gNB-4,3.8,-79.3,Ping-Pong
16.90,UE-11,gNB-4,AnchorGNB-1,-5.8,-85.7,Ping-Pong
17.80,UE-11,AnchorGNB-1,gNB-3,3.0,-78.5,Ping-Pong
18.50,UE-1,AnchorGNB-1,gNB-1,-20.0,-66.2,Ping-Pong
18.80,UE-10,AnchorGNB-1,gNB-3,21.7,-61.5,Ping-Pong
19.10,UE-1,gNB-1,AnchorGNB-1,-20.0,-96.4,Ping-Pong
19.10,UE-10,gNB-3,AnchorGNB-1,-12.9,-94.6,Ping-Pong
19.50,UE-11,gNB-3,AnchorGNB-1,-10.0,-86.3,Ping-Pong
20.40,UE-11,AnchorGNB-1,gNB-4,-3.2,-84.6,Ping-Pong
20.80,UE-11,gNB-4,AnchorGNB-1,-2.6,-84.0,Ping-Pong
21.10,UE-1,AnchorGNB-1,gNB-2,5.6,-73.5,Ping-Pong
21.10,UE-8,AnchorGNB-1,gNB-4,-1.5,-77.3,Ping-Pong
21.10,UE-9,AnchorGNB-1,gNB-4,2.1,-82.3,Ping-Pong
21.30,UE-8,gNB-4,AnchorGNB-1,6.7,-73.7,Ping-Pong
21.30,UE-10,AnchorGNB-1,gNB-4,-19.8,-90.5,Ping-Pong
21.30,UE-11,AnchorGNB-1,gNB-4,-20.0,-93.7,Ping-Pong
21.90,UE-8,AnchorGNB-1,gNB-4,2.9,-81.4,Ping-Pong
22.10,UE-1,gNB-2,AnchorGNB-1,-8.7,-81.7,Ping-Pong
22.10,UE-9,gNB-4,AnchorGNB-1,-9.3,-82.0,Ping-Pong
22.10,UE-11,gNB-4,AnchorGNB-1,-20.0,-88.5,Ping-Pong
22.20,UE-8,gNB-4,AnchorGNB-1,-20.0,-90.3,Ping-Pong
22.30,UE-10,gNB-4,AnchorGNB-1,-10.4,-92.8,Ping-Pong
23.10,UE-11,AnchorGNB-1,gNB-3,17.8,-65.5,Ping-Pong
23.30,UE-11,gNB-3,AnchorGNB-1,-20.0,-103.5,Ping-Pong
24.00,UE-1,AnchorGNB-1,gNB-1,-4.5,-77.7,Ping-Pong
24.10,UE-10,AnchorGNB-1,gNB-3,-8.7,-91.0,Ping-Pong
24.10,UE-11,AnchorGNB-1,gNB-3,-4.9,-84.4,Ping-Pong
24.20,UE-1,gNB-1,AnchorGNB-1,16.4,-67.9,Ping-Pong
24.20,UE-9,AnchorGNB-1,gNB-3,-13.3,-77.8,Ping-Pong
24.40,UE-1,AnchorGNB-1,gNB-1,-20.0,-81.1,Ping-Pong
24.80,UE-1,gNB-1,AnchorGNB-1,-2.9,-77.5,Ping-Pong
24.90,UE-9,gNB-3,AnchorGNB-1,-4.0,-88.7,Ping-Pong
25.10,UE-10,gNB-3,AnchorGNB-1,2.3,-78.7,Ping-Pong
25.10,UE-11,gNB-3,AnchorGNB-1,-6.9,-85.6,Ping-Pong
27.00,UE-11,AnchorGNB-1,gNB-4,-9.3,-78.0,Ping-Pong
27.10,UE-10,AnchorGNB-1,gNB-4,-11.1,-90.4,Ping-Pong
27.20,UE-1,AnchorGNB-1,gNB-2,-14.4,-89.8,Ping-Pong
27.20,UE-9,AnchorGNB-1,gNB-4,-15.7,-96.8,Ping-Pong
28.10,UE-10,gNB-4,AnchorGNB-1,8.3,-74.8,Ping-Pong
28.10,UE-11,gNB-4,AnchorGNB-1,-8.0,-93.5,Ping-Pong
28.20,UE-9,gNB-4,AnchorGNB-1,-2.5,-84.7,Ping-Pong
28.30,UE-1,gNB-2,AnchorGNB-1,-20.0,-98.5,Ping-Pong
30.00,UE-10,AnchorGNB-1,gNB-3,-15.5,-86.7,Ping-Pong
30.20,UE-8,AnchorGNB-1,AnchorGNB-2,-16.2,-87.3,Ping-Pong
30.30,UE-11,AnchorGNB-1,gNB-3,-12.0,-89.4,Ping-Pong
30.40,UE-8,AnchorGNB-2,gNB-3,22.6,-54.2,Ping-Pong
30.40,UE-9,AnchorGNB-1,gNB-3,1.2,-80.8,Ping-Pong
30.70,UE-8,gNB-3,AnchorGNB-1,-20.0,-94.7,Ping-Pong
30.80,UE-9,gNB-3,AnchorGNB-1,-17.8,-96.7,Ping-Pong
31.00,UE-10,gNB-3,AnchorGNB-1,-19.1,-92.4,Ping-Pong
