Timestamp(s),UE_ID,Serving_gNB,Target_gNB,Serving_SINR(dB),RSRP(dBm),Remarks
10.90,UE-11,gNB-4,gNB-2,-0.6,-75.8,Ping-Pong
11.10,UE-4,gNB-4,gNB-3,5.7,-72.7,Ping-Pong
11.30,UE-4,gNB-3,gNB-4,3.0,-76.5,Ping-Pong
11.40,UE-7,gNB-1,gNB-2,5.3,-74.5,Ping-Pong
11.50,UE-1,gNB-2,gNB-1,15.0,-65.2,Ping-Pong
11.50,UE-9,gNB-1,gNB-3,-2.7,-78.7,Ping-Pong
11.60,UE-5,gNB-4,gNB-3,-3.4,-82.9,Ping-Pong
11.60,UE-6,gNB-4,gNB-3,-11.1,-89.6,Ping-Pong
11.70,UE-1,gNB-1,gNB-2,-7.1,-85.8,Ping-Pong
11.70,UE-3,gNB-2,gNB-1,-6.2,-83.2,Ping-Pong
11.70,UE-9,gNB-3,gNB-1,-7.2,-75.5,Ping-Pong
11.90,UE-5,gNB-3,gNB-4,-5.6,-77.9,Ping-Pong
12.10,UE-1,gNB-2,gNB-1,-20.0,-80.2,Ping-Pong
12.10,UE-2,gNB-2,gNB-1,-20.0,-93.7,Ping-Pong
12.10,UE-4,gNB-4,gNB-3,-20.0,-85.8,Ping-Pong
12.10,UE-5,gNB-4,gNB-3,-20.0,-91.3,Ping-Pong
12.10,UE-11,gNB-2,gNB-4,-11.5,-87.0,Ping-Pong
12.20,UE-9,gNB-1,gNB-3,-6.7,-79.3,Ping-Pong
12.40,UE-9,gNB-3,gNB-1,1.9,-64.5,Ping-Pong
12.60,UE-7,gNB-2,gNB-1,-3.2,-75.7,Ping-Pong
12.70,UE-11,gNB-4,gNB-2,1.2,-70.8,Ping-Pong
12.90,UE-11,gNB-2,gNB-4,4.6,-73.4,Ping-Pong
13.10,UE-9,gNB-1,gNB-3,10.3,-71.7,Ping-Pong
13.10,UE-11,gNB-4,gNB-2,-6.8,-83.5,Ping-Pong
13.20,UE-6,gNB-3,gNB-4,-6.8,-82.3,Ping-Pong
13.30,UE-9,gNB-3,gNB-1,-6.9,-88.5,Ping-Pong
13.40,UE-7,gNB-1,gNB-2,-9.0,-82.0,Ping-Pong
13.50,UE-1,gNB-1,gNB-2,-9.2,-80.5,Ping-Pong
13.50,UE-6,gNB-4,gNB-3,9.3,-65.8,Ping-Pong
13.60,UE-2,gNB-1,gNB-2,-5.3,-81.5,Ping-Pong
13.70,UE-11,gNB-2,gNB-4,2.2,-77.8,Ping-Pong
13.80,UE-6,gNB-3,gNB-4,4.1,-73.9,Ping-Pong
13.90,UE-9,gNB-1,gNB-3,4.5,-76.3,Ping-Pong
14.00,UE-3,gNB-1,gNB-2,-20.0,-81.3,Ping-Pong
14.10,UE-4,gNB-3,gNB-4,-20.0,-88.4,Ping-Pong
14.10,UE-5,gNB-3,gNB-4,-20.0,-86.9,Ping-Pong
14.10,UE-8,gNB-3,gNB-1,-20.0,-85.6,Ping-Pong
14.10,UE-11,gNB-4,gNB-2,6.6,-77.5,Ping-Pong
14.30,UE-9,gNB-3,gNB-1,-11.8,-82.7,Ping-Pong
14.50,UE-11,gNB-2,gNB-4,0.5,-80.1,Ping-Pong
14.70,UE-11,gNB-4,gNB-2,10.3,-66.3,Ping-Pong
15.30,UE-8,gNB-1,gNB-3,5.8,-76.0,Ping-Pong
15.60,UE-8,gNB-3,gNB-1,-5.5,-80.2,Ping-Pong
15.60,UE-11,gNB-2,gNB-1,4.5,-78.4,Ping-Pong
15.80,UE-11,gNB-1,gNB-3,-18.2,-91.9,Ping-Pong
16.20,UE-11,gNB-3,gNB-2,-7.9,-86.5,Ping-Pong
16.90,UE-9,gNB-1,gNB-3,-20.0,-100.5,Ping-Pong
16.90,UE-11,gNB-2,gNB-4,-12.8,-88.1,Ping-Pong
17.10,UE-1,gNB-2,gNB-1,-18.1,-91.5,Ping-Pong
17.10,UE-5,gNB-4,gNB-3,-20.0,-79.4,Ping-Pong
17.10,UE-9,gNB-3,gNB-1,-5.7,-85.4,Ping-Pong
17.30,UE-6,gNB-4,gNB-3,-15.9,-92.1,Ping-Pong
17.30,UE-11,gNB-4,gNB-2,-13.2,-85.5,Ping-Pong
17.40,UE-1,gNB-1,gNB-2,-0.4,-76.9,Ping-Pong
17.50,UE-2,gNB-2,gNB-1,0.5,-79.9,Ping-Pong
17.50,UE-5,gNB-3,gNB-4,-7.2,-76.0,Ping-Pong
17.50,UE-7,gNB-2,gNB-1,-20.0,-85.6,Ping-Pong
17.60,UE-1,gNB-2,gNB-1,-19.6,-90.3,Ping-Pong
17.70,UE-5,gNB-4,gNB-3,-9.9,-80.2,Ping-Pong
17.80,UE-3,gNB-2,gNB-1,1.3,-79.3,Ping-Pong
17.80,UE-11,gNB-2,gNB-3,-20.0,-84.9,Ping-Pong
17.90,UE-2,gNB-1,gNB-2,-7.2,-82.6,Ping-Pong
17.90,UE-7,gNB-1,gNB-2,-19.4,-91.8,Ping-Pong
18.10,UE-2,gNB-2,gNB-1,-20.0,-88.7,Ping-Pong
18.10,UE-4,gNB-4,gNB-3,-20.0,-91.9,Ping-Pong
18.20,UE-11,gNB-3,gNB-4,-10.3,-86.7,Ping-Pong
18.60,UE-7,gNB-2,gNB-4,-18.4,-87.4,Ping-Pong
19.20,UE-5,gNB-3,gNB-4,3.7,-78.4,Ping-Pong
19.20,UE-11,gNB-4,gNB-2,-11.9,-76.9,Ping-Pong
19.30,UE-2,gNB-1,gNB-2,5.6,-77.1,Ping-Pong
19.30,UE-4,gNB-3,gNB-4,-5.3,-81.2,Ping-Pong
19.40,UE-5,gNB-4,gNB-3,-1.4,-82.4,Ping-Pong
19.40,UE-11,gNB-2,gNB-4,3.8,-76.4,Ping-Pong
19.50,UE-1,gNB-1,gNB-2,1.4,-79.2,Ping-Pong
19.70,UE-1,gNB-2,gNB-1,1.5,-80.2,Ping-Pong
19.70,UE-2,gNB-2,gNB-1,-15.0,-86.4,Ping-Pong
19.70,UE-4,gNB-4,gNB-3,-7.2,-90.9,Ping-Pong
19.90,UE-3,gNB-1,gNB-2,-5.2,-62.5,Ping-Pong
19.90,UE-5,gNB-3,gNB-4,-2.7,-82.1,Ping-Pong
19.90,UE-10,gNB-1,gNB-3,-20.0,-77.4,
20.00,UE-1,gNB-1,gNB-2,-20.0,-91.5,Ping-Pong
20.00,UE-4,gNB-3,gNB-4,-20.0,-97.8,Ping-Pong
20.00,UE-6,gNB-3,gNB-4,-20.0,-87.4,Ping-Pong
20.10,UE-2,gNB-1,gNB-2,-20.0,-84.6,Ping-Pong
20.10,UE-7,gNB-4,gNB-1,-18.6,-95.3,Ping-Pong
20.20,UE-11,gNB-4,gNB-2,-17.0,-87.9,Ping-Pong
20.30,UE-7,gNB-1,gNB-3,5.4,-74.7,Ping-Pong
20.30,UE-10,gNB-3,gNB-1,-3.5,-79.8,Ping-Pong
20.80,UE-7,gNB-3,gNB-1,10.6,-65.9,Ping-Pong
21.10,UE-8,gNB-1,gNB-2,-3.1,-78.8,Ping-Pong
21.20,UE-7,gNB-1,gNB-3,-9.4,-79.8,Ping-Pong
