time_stamp,gnb_id,UE-1 TP,UE-2 TP,UE-3 TP,UE-4 TP,UE-5 TP,UE-6 TP,UE-7 TP,UE-8 TP,UE-9 TP,UE-10 TP,UE-11 TP,Total_Throughput
30.20,gNB-3,,,2.00,1.00,,,20.00,0.00,2.00,110.00,70.00,205.00
30.30,gNB-1,40.00,40.00,,,40.00,1.00,,,,,,121.00
30.30,gNB-3,,,20.00,0.00,,,1.00,1.00,10.00,20.00,160.00,212.00
30.40,gNB-1,1.00,0.00,,,0.00,1.00,,,,,,2.00
30.40,gNB-3,,,2.00,20.00,,,0.00,0.00,10.00,40.00,70.00,142.00
30.50,gNB-1,40.00,110.00,,,20.00,2.00,,,,,,172.00
30.50,gNB-3,,,2.00,20.00,,,20.00,5.00,5.00,160.00,40.00,252.00
30.60,gNB-1,20.00,1.00,,,1.00,0.00,,,,,,22.00
30.60,gNB-3,,,110.00,10.00,,,10.00,10.00,1.00,70.00,5.00,216.00
30.70,gNB-1,40.00,220.00,,,0.00,10.00,,,,,,270.00
30.70,gNB-3,,,5.00,1.00,,,20.00,2.00,10.00,110.00,70.00,218.00
30.80,gNB-1,40.00,10.00,,,2.00,10.00,,,,,,62.00
30.80,gNB-3,,,110.00,110.00,,,20.00,2.00,1.00,160.00,40.00,443.00
30.90,gNB-1,280.00,10.00,,,70.00,1.00,,,,,,361.00
30.90,gNB-3,,,550.00,70.00,,,2.00,1.00,110.00,110.00,110.00,953.00
31.00,gNB-1,3.50,0.70,,,0.00,0.00,,,,,,4.20
31.00,gNB-3,,,14.00,0.70,,,0.70,3.50,0.70,0.70,1.40,21.70
31.10,gNB-1,5.00,1.00,,,0.00,0.00,,,,,,6.00
31.10,gNB-3,,,0.00,2.00,,,0.00,0.00,0.00,1.00,2.00,5.00
